cell,mouse,source,number_of_VSGs
M20_Mix_random_R1,invitro,mix,5
M20_Mix_random_R2,invitro,mix,4
M20_mouse1_blood,mouse1,blood,3
M20_mouse1_fat,mouse1,fat,5
M20_mouse2_fat,mouse2,fat,7
M21_Mix_random_R1,invitro,mix,4
M21_Mix_random_R2,invitro,mix,2
M21_mouse1_blood,mouse1,blood,9
M21_mouse1_fat,mouse1,fat,3
M21_mouse2_fat,mouse2,fat,4
M22_Mix_random_R1,invitro,mix,2
M22_Mix_random_R2,invitro,mix,1
M22_mouse1_blood,mouse1,blood,5
M22_mouse1_fat,mouse1,fat,7
M22_mouse2_fat,mouse2,fat,3
M23_Mix_random_R1,invitro,mix,4
M23_mouse1_blood,mouse1,blood,5
M23_mouse1_fat,mouse1,fat,6
M23_mouse2_blood,mouse2,blood,2
M23_mouse2_fat,mouse2,fat,7
M23_mouse2_lung,mouse2,lung,2
M24_mouse1_blood,mouse1,blood,4
M24_mouse1_fat,mouse1,fat,7
M24_mouse2_fat,mouse2,fat,4
M24_mouse2_lung,mouse2,lung,2
M2_Mix_random_R2,invitro,mix,4
M2_mouse1_blood,mouse1,blood,5
M2_mouse2_heart,mouse2,heart,3
M3_mouse1_blood,mouse1,blood,5
M3_mouse1_fat,mouse1,fat,4
M3_mouse1_heart,mouse1,heart,4
M3_mouse2_heart,mouse2,heart,6
M4_mouse1_blood,mouse1,blood,6
M4_mouse1_fat,mouse1,fat,10
M4_mouse2_blood,mouse2,blood,4
M5_Lung_R2,mouse1,lung,4
M5_mouse1_blood,mouse1,blood,1
M5_mouse1_fat,mouse1,fat,4
M6_Lung_R2,mouse1,lung,5
M6_mouse1_fat,mouse1,fat,10
M6_mouse1_heart,mouse1,heart,3
M6_mouse2_heart,mouse2,heart,5
M7_Lung_R2,mouse1,lung,2
M7_Mix_random_R1,invitro,mix,5
M7_mouse1_blood,mouse1,blood,2
M7_mouse1_fat,mouse1,fat,3
M7_mouse1_heart,mouse1,heart,2
M7_mouse2_fat,mouse2,fat,5
M9_Lung_R2,mouse1,lung,4
M9_Mix_random_R1,invitro,mix,3
M9_Mix_random_R2,invitro,mix,5
M9_mouse1_blood,mouse1,blood,4
M9_mouse1_fat,mouse1,fat,17
M9_mouse1_heart,mouse1,heart,4
N10_Mix_random_R1,invitro,mix,3
N10_Mix_random_R2,invitro,mix,4
N10_mouse1_fat,mouse1,fat,7
N10_mouse2_fat,mouse2,fat,7
N11_Mix_random_R1,invitro,mix,2
N11_Mix_random_R2,invitro,mix,11
N11_mouse1_blood,mouse1,blood,5
N11_mouse1_fat,mouse1,fat,2
N11_mouse2_blood,mouse2,blood,1
N11_mouse2_fat,mouse2,fat,5
N12_mouse1_blood,mouse1,blood,5
N12_mouse2_blood,mouse2,blood,3
N12_mouse2_fat,mouse2,fat,4
N12_mouse2_heart,mouse2,heart,4
N12_mouse2_lung,mouse2,lung,1
N13_Mix_random_R1,invitro,mix,2
N13_Mix_random_R2,invitro,mix,3
N13_mouse1_fat,mouse1,fat,7
N13_mouse1_heart,mouse1,heart,1
N13_mouse2_heart,mouse2,heart,3
N13_mouse2_lung,mouse2,lung,3
N14_Lung_R2,mouse1,lung,2
N14_Mix_random_R1,invitro,mix,2
N14_Mix_random_R2,invitro,mix,6
N14_mouse1_blood,mouse1,blood,4
N14_mouse1_fat,mouse1,fat,4
N14_mouse2_fat,mouse2,fat,3
N15_Mix_random_R2,invitro,mix,7
N15_mouse1_fat,mouse1,fat,2
N15_mouse2_fat,mouse2,fat,2
N16_Mix_random_R1,invitro,mix,2
N16_Mix_random_R2,invitro,mix,3
N16_mouse1_blood,mouse1,blood,5
N16_mouse1_fat,mouse1,fat,5
N16_mouse2_fat,mouse2,fat,2
N16_mouse2_heart,mouse2,heart,5
N17_Lung_R2,mouse1,lung,5
N17_Mix_random_R1,invitro,mix,1
N17_mouse1_blood,mouse1,blood,1
N17_mouse1_fat,mouse1,fat,8
N17_mouse2_fat,mouse2,fat,6
N17_mouse2_lung,mouse2,lung,3
N18_Mix_random_R1,invitro,mix,4
N18_Mix_random_R2,invitro,mix,8
N18_mouse1_fat,mouse1,fat,5
N18_mouse2_blood,mouse2,blood,2
N18_mouse2_fat,mouse2,fat,4
N19_Mix_random_R1,invitro,mix,3
N19_Mix_random_R2,invitro,mix,6
N19_mouse1_blood,mouse1,blood,2
N19_mouse1_fat,mouse1,fat,7
N19_mouse2_blood,mouse2,blood,1
N19_mouse2_fat,mouse2,fat,4
N19_mouse2_lung,mouse2,lung,2
N1_mouse1_blood,mouse1,blood,2
N1_mouse1_fat,mouse1,fat,5
N1_mouse2_heart,mouse2,heart,2
N20_Mix_random_R1,invitro,mix,6
N20_Mix_random_R2,invitro,mix,7
N20_mouse1_fat,mouse1,fat,6
N20_mouse2_lung,mouse2,lung,2
N21_Mix_random_R1,invitro,mix,3
N21_Mix_random_R2,invitro,mix,4
N21_mouse1_fat,mouse1,fat,3
N21_mouse2_fat,mouse2,fat,7
N21_mouse2_lung,mouse2,lung,5
N22_Mix_random_R1,invitro,mix,3
N22_Mix_random_R2,invitro,mix,3
N22_mouse1_blood,mouse1,blood,5
N22_mouse1_fat,mouse1,fat,2
N22_mouse2_fat,mouse2,fat,2
N22_mouse2_lung,mouse2,lung,6
N23_mouse1_blood,mouse1,blood,5
N23_mouse1_fat,mouse1,fat,6
N23_mouse2_fat,mouse2,fat,3
N23_mouse2_lung,mouse2,lung,7
N24_mouse1_blood,mouse1,blood,5
N24_mouse1_fat,mouse1,fat,3
N24_mouse2_blood,mouse2,blood,2
N24_mouse2_fat,mouse2,fat,2
N2_mouse1_blood,mouse1,blood,6
N2_mouse1_fat,mouse1,fat,5
N2_mouse2_heart,mouse2,heart,4
N3_Lung_R2,mouse1,lung,3
N3_mouse1_blood,mouse1,blood,6
N3_mouse1_fat,mouse1,fat,8
N3_mouse1_heart,mouse1,heart,1
N3_mouse2_heart,mouse2,heart,1
N5_Lung_R2,mouse1,lung,6
N5_mouse1_blood,mouse1,blood,5
N5_mouse1_fat,mouse1,fat,4
N5_mouse2_blood,mouse2,blood,4
N6_Lung_R2,mouse1,lung,6
N6_mouse1_fat,mouse1,fat,8
N6_mouse1_heart,mouse1,heart,2
N6_mouse2_blood,mouse2,blood,3
N7_Lung_R2,mouse1,lung,8
N7_Mix_random_R1,invitro,mix,5
N7_mouse1_blood,mouse1,blood,4
N7_mouse1_fat,mouse1,fat,4
N7_mouse1_heart,mouse1,heart,1
N7_mouse2_blood,mouse2,blood,1
N7_mouse2_fat,mouse2,fat,6
N7_mouse2_heart,mouse2,heart,2
N8_Lung_R2,mouse1,lung,2
N8_Mix_random_R1,invitro,mix,3
N8_Mix_random_R2,invitro,mix,6
N8_mouse1_blood,mouse1,blood,2
N8_mouse1_fat,mouse1,fat,4
N8_mouse2_fat,mouse2,fat,2
N9_Mix_random_R1,invitro,mix,3
N9_Mix_random_R2,invitro,mix,5
N9_mouse1_fat,mouse1,fat,7
N9_mouse2_fat,mouse2,fat,4
O10_Mix_random_R1,invitro,mix,6
O10_Mix_random_R2,invitro,mix,2
O10_mouse1_blood,mouse1,blood,5
O10_mouse1_fat,mouse1,fat,3
O10_mouse2_blood,mouse2,blood,1
O10_mouse2_fat,mouse2,fat,5
O11_Mix_random_R1,invitro,mix,2
O11_mouse1_heart,mouse1,heart,2
O11_mouse2_fat,mouse2,fat,4
O13_Mix_random_R1,invitro,mix,3
O13_Mix_random_R2,invitro,mix,5
O13_mouse1_fat,mouse1,fat,4
O13_mouse1_heart,mouse1,heart,5
O13_mouse2_lung,mouse2,lung,3
O14_Lung_R2,mouse1,lung,2
O14_Mix_random_R1,invitro,mix,5
O14_Mix_random_R2,invitro,mix,2
O14_mouse1_blood,mouse1,blood,2
O14_mouse1_fat,mouse1,fat,1
O14_mouse1_heart,mouse1,heart,2
O14_mouse2_heart,mouse2,heart,5
O15_Lung_R2,mouse1,lung,1
O15_Mix_random_R2,invitro,mix,5
O15_mouse1_fat,mouse1,fat,7
O15_mouse2_blood,mouse2,blood,4
O15_mouse2_heart,mouse2,heart,4
O15_mouse2_lung,mouse2,lung,6
O16_Mix_random_R1,invitro,mix,7
O16_Mix_random_R2,invitro,mix,2
O16_mouse1_blood,mouse1,blood,2
O16_mouse1_fat,mouse1,fat,7
O16_mouse1_heart,mouse1,heart,3
O17_Mix_random_R1,invitro,mix,5
O17_Mix_random_R2,invitro,mix,1
O17_mouse1_blood,mouse1,blood,2
O17_mouse1_fat,mouse1,fat,5
O17_mouse1_heart,mouse1,heart,3
O17_mouse2_fat,mouse2,fat,6
O18_Mix_random_R1,invitro,mix,8
O18_mouse1_fat,mouse1,fat,6
O18_mouse1_heart,mouse1,heart,4
O18_mouse2_fat,mouse2,fat,2
O18_mouse2_lung,mouse2,lung,2
O1_Mix_random_R1,invitro,mix,6
O1_Mix_random_R2,invitro,mix,4
O1_mouse1_fat,mouse1,fat,2
O1_mouse2_heart,mouse2,heart,3
O20_mouse1_blood,mouse1,blood,1
O20_mouse1_fat,mouse1,fat,7
O20_mouse2_lung,mouse2,lung,14
O21_Mix_random_R1,invitro,mix,6
O21_Mix_random_R2,invitro,mix,3
O21_mouse1_blood,mouse1,blood,5
O21_mouse1_fat,mouse1,fat,2
O21_mouse2_fat,mouse2,fat,6
O21_mouse2_heart,mouse2,heart,5
O21_mouse2_lung,mouse2,lung,5
O22_mouse1_blood,mouse1,blood,4
O22_mouse2_fat,mouse2,fat,2
O22_mouse2_lung,mouse2,lung,7
O23_mouse1_blood,mouse1,blood,9
O23_mouse2_blood,mouse2,blood,1
O23_mouse2_fat,mouse2,fat,5
O23_mouse2_heart,mouse2,heart,7
O23_mouse2_lung,mouse2,lung,7
O24_mouse1_blood,mouse1,blood,2
O24_mouse1_fat,mouse1,fat,1
O24_mouse2_blood,mouse2,blood,2
O24_mouse2_fat,mouse2,fat,7
O24_mouse2_lung,mouse2,lung,6
O2_Mix_random_R1,invitro,mix,6
O2_Mix_random_R2,invitro,mix,6
O2_mouse1_blood,mouse1,blood,2
O2_mouse1_fat,mouse1,fat,2
O2_mouse1_heart,mouse1,heart,10
O2_mouse2_heart,mouse2,heart,5
O3_Mix_random_R1,invitro,mix,6
O3_Mix_random_R2,invitro,mix,5
O3_mouse1_blood,mouse1,blood,3
O3_mouse1_fat,mouse1,fat,5
O3_mouse1_heart,mouse1,heart,6
O3_mouse2_heart,mouse2,heart,8
O4_Mix_random_R2,invitro,mix,4
O4_mouse1_heart,mouse1,heart,6
O4_mouse2_fat,mouse2,fat,4
O5_Mix_random_R2,invitro,mix,3
O5_mouse1_heart,mouse1,heart,2
O5_mouse2_blood,mouse2,blood,4
O5_mouse2_fat,mouse2,fat,4
O6_Mix_random_R1,invitro,mix,2
O6_Mix_random_R2,invitro,mix,4
O6_mouse1_heart,mouse1,heart,2
O6_mouse2_fat,mouse2,fat,3
O7_Mix_random_R1,invitro,mix,4
O7_Mix_random_R2,invitro,mix,6
O7_mouse1_blood,mouse1,blood,6
O7_mouse1_fat,mouse1,fat,5
O7_mouse1_heart,mouse1,heart,11
O7_mouse2_fat,mouse2,fat,9
O7_mouse2_heart,mouse2,heart,5
O8_Mix_random_R1,invitro,mix,6
O8_Mix_random_R2,invitro,mix,4
O8_mouse1_blood,mouse1,blood,11
O8_mouse1_fat,mouse1,fat,2
O8_mouse1_heart,mouse1,heart,3
O8_mouse2_blood,mouse2,blood,1
O8_mouse2_fat,mouse2,fat,3
O9_Mix_random_R2,invitro,mix,4
O9_mouse1_blood,mouse1,blood,4
O9_mouse1_fat,mouse1,fat,3
O9_mouse1_heart,mouse1,heart,8
O9_mouse2_fat,mouse2,fat,2
P10_Mix_random_R1,invitro,mix,3
P10_mouse1_heart,mouse1,heart,5
P11_mouse1_heart,mouse1,heart,2
P12_Mix_random_R1,invitro,mix,8
P12_mouse1_blood,mouse1,blood,4
P12_mouse1_heart,mouse1,heart,1
P12_mouse2_blood,mouse2,blood,3
P13_Mix_random_R1,invitro,mix,3
P13_mouse1_heart,mouse1,heart,4
P14_Mix_random_R1,invitro,mix,4
P14_mouse1_heart,mouse1,heart,3
P15_Mix_random_R1,invitro,mix,7
P15_mouse2_blood,mouse2,blood,3
P16_Mix_random_R1,invitro,mix,3
P16_mouse1_heart,mouse1,heart,2
P17_Mix_random_R1,invitro,mix,7
P17_mouse1_heart,mouse1,heart,3
P17_mouse2_blood,mouse2,blood,1
P18_Mix_random_R1,invitro,mix,5
P18_mouse1_heart,mouse1,heart,4
P18_mouse2_blood,mouse2,blood,4
P19_Mix_random_R1,invitro,mix,6
P19_mouse1_fat,mouse1,fat,4
P19_mouse1_heart,mouse1,heart,3
P20_Mix_random_R1,invitro,mix,2
P20_mouse2_blood,mouse2,blood,4
P21_mouse1_fat,mouse1,fat,5
P21_mouse2_fat,mouse2,fat,3
P21_mouse2_heart,mouse2,heart,5
P21_mouse2_lung,mouse2,lung,1
P22_mouse2_heart,mouse2,heart,2
P23_Mix_random_R1,invitro,mix,5
P23_mouse1_blood,mouse1,blood,2
P23_mouse1_fat,mouse1,fat,4
P23_mouse2_blood,mouse2,blood,1
P23_mouse2_fat,mouse2,fat,3
P23_mouse2_lung,mouse2,lung,2
P24_mouse2_blood,mouse2,blood,2
P24_mouse2_heart,mouse2,heart,3
P2_Mix_random_R1,invitro,mix,2
P2_mouse1_blood,mouse1,blood,7
P2_mouse2_blood,mouse2,blood,3
P2_mouse2_heart,mouse2,heart,9
P3_Mix_random_R1,invitro,mix,3
P3_Mix_random_R2,invitro,mix,3
P3_mouse1_blood,mouse1,blood,4
P3_mouse1_heart,mouse1,heart,7
P3_mouse2_fat,mouse2,fat,4
P3_mouse2_heart,mouse2,heart,1
P4_Mix_random_R1,invitro,mix,5
P4_Mix_random_R2,invitro,mix,2
P4_mouse1_heart,mouse1,heart,5
P4_mouse2_fat,mouse2,fat,6
P5_Mix_random_R1,invitro,mix,7
P5_mouse1_heart,mouse1,heart,8
P5_mouse2_blood,mouse2,blood,4
P5_mouse2_fat,mouse2,fat,10
P6_Lung_R2,mouse1,lung,3
P6_Mix_random_R1,invitro,mix,5
P6_mouse1_blood,mouse1,blood,1
P6_mouse2_fat,mouse2,fat,2
P6_mouse2_heart,mouse2,heart,5
P7_Mix_random_R1,invitro,mix,7
P8_Mix_random_R1,invitro,mix,2
P8_mouse1_heart,mouse1,heart,7
P8_mouse2_blood,mouse2,blood,1
P9_Mix_random_R1,invitro,mix,7
P9_mouse1_blood,mouse1,blood,3
P9_mouse1_heart,mouse1,heart,3
P9_mouse2_blood,mouse2,blood,1
